Date,Temp_C,Humidity_pct,Precipitation_mm,Soil_Moisture_pct,Pump_Action,MLP_Predicted_Rain,Hybrid_Decision_min
2026-03-17,26.91,71.37,0.02,97.26,0,0.655239987920861,1.68
2026-03-18,27.3,69.17,0.01,96.46,0,0.25960691572068734,1.68
2026-03-19,27.3,69.06,0.0,95.66,0,0.22504115542283093,1.69
2026-03-20,27.22,71.6,0.24,95.4,0,0.9625432387327575,1.69
2026-03-21,27.36,70.88,0.01,94.63,0,0.8424369302996366,1.7
2026-03-22,27.75,67.57,0.0,93.79,0,0.09800391327563301,1.71
2026-03-23,27.78,66.02,0.02,92.92,0,0.0,1.72
2026-03-24,27.62,65.69,0.0,92.04,0,0.0,1.74
2026-03-25,27.76,66.4,0.0,91.18,0,0.0,1.75
2026-03-26,27.89,66.84,0.0,90.32,0,0.0,1.77
2026-03-27,28.07,68.41,0.0,89.49,0,0.6045716098216458,1.78
2026-03-28,28.24,68.52,0.0,88.65,0,0.7680244540648522,1.8
2026-03-29,28.22,68.93,0.0,87.82,0,0.8816972833739938,1.82
2026-03-30,28.11,68.47,0.01,86.99,0,0.653752033586227,1.83
2026-03-31,28.66,65.51,0.03,86.08,0,0.14060647191841152,1.86
2026-04-01,28.66,65.93,0.0,85.17,0,0.27258482941932477,1.88
2026-04-02,28.51,67.74,0.06,84.31,0,0.7276248058124986,1.9
2026-04-03,28.19,62.51,0.0,83.36,0,0.0,1.92
2026-04-04,28.76,66.79,0.0,82.47,0,0.6186421598442216,1.95
2026-04-05,29.05,67.39,0.02,81.59,0,1.0270488725842204,1.97
2026-04-06,29.15,65.56,0.23,81.12,0,0.5278162466342449,1.98
2026-04-07,30.03,66.0,0.24,80.66,0,1.3332594870721892,1.99
2026-04-08,30.03,66.0,0.24,80.19,0,1.3332594870721892,2.01
2026-04-09,30.03,66.0,0.24,79.73,0,1.3332594870721892,2.02
2026-04-10,30.03,66.0,0.24,79.27,0,1.3332594870721892,2.03
